id,key,value,type
12429708,name,Buck Hill Road,regular
12429708,cfcc,A41,tiger
12429708,county,"Horry, SC",tiger
12429708,name_base,Buck Hill,tiger
12429708,name_type,Rd,tiger
12429708,reviewed,no,tiger
12429708,zip_left,29588,tiger
12429708,zip_right,29588,tiger
12429742,highway,residential,regular
12429742,name,Piedmont Avenue,regular
12429742,name_1,Piedmont,regular
12429742,cfcc,A41,tiger
12429742,county,"Horry, SC",tiger
12429742,name_base,Piedmont,tiger
12429742,name_base_1,Piedmont,tiger
12429742,name_type,Ave,tiger
12429742,reviewed,no,tiger
12429742,zip_left,29577,tiger
12429742,zip_right,29577,tiger
12429777,highway,residential,regular
12429777,name,Crimson Street,regular
12429777,zip_right,29577,tiger
12429777,zip_right_1,29577,tiger
12429821,highway,residential,regular
12429821,name,22nd Avenue North,regular
12429821,cfcc,A41,tiger
12429821,county,"Horry, SC",tiger
12429821,name_base,22nd,tiger
12429821,name_direction_suffix,N,tiger
12429821,name_type,Ave,tiger
12429821,reviewed,no,tiger
12429821,zip_left,29577,tiger
12429821,zip_right,29577,tiger
12429863,highway,residential,regular
12429863,name,Stonebridge Drive,regular
12429863,cfcc,A41,tiger
12429863,county,"Horry, SC",tiger
12429863,name_base,Stonebridge,tiger
12429863,name_type,Dr,tiger
12429863,reviewed,no,tiger
12429897,highway,residential,regular
12429897,name,22nd Avenue South,regular
12429897,cfcc,A41,tiger
12429897,county,"Horry, SC",tiger
12429897,name_base,22nd,tiger
12429897,name_direction_suffix,S,tiger
12429897,name_type,Ave,tiger
12429897,reviewed,no,tiger
12429897,zip_left,29577,tiger
12429897,zip_right,29577,tiger
12429931,highway,residential,regular
12429931,name,Leaf Terrace,regular
12429931,cfcc,A41,tiger
12429931,county,"Horry, SC",tiger
12429931,name_base,Leaf,tiger
12429931,name_type,Ter,tiger
12429931,reviewed,no,tiger
12429931,zip_left,29577,tiger
12429997,highway,residential,regular
12429997,name,Drywall Drive,regular
12429997,name_1,Industrial Drive,regular
12429997,cfcc,A41,tiger
12429997,county,"Horry, SC",tiger
12429997,name_base,Drywall,tiger
12429997,name_base_1,Industrial,tiger
12429997,name_type,Dr,tiger
12429997,name_type_1,Dr,tiger
12429997,reviewed,no,tiger
12429997,zip_left,29577,tiger
12429997,zip_right,29577,tiger
12430001,highway,residential,regular
12430001,name,30th Avenue North,regular
12430001,cfcc,A41,tiger
12430001,county,"Horry, SC",tiger
12430001,name_base,30th,tiger
12430001,name_direction_suffix,N,tiger
12430001,name_type,Ave,tiger
12430001,reviewed,no,tiger
12430001,zip_left,29577,tiger
12430001,zip_right,29577,tiger
12430020,highway,residential,regular
12430020,name,Gemstone Court,regular
12430020,cfcc,A41,tiger
12430020,county,"Horry, SC",tiger
12430020,name_base,Gemstone,tiger
12430020,name_type,Ct,tiger
12430020,reviewed,no,tiger
12430020,zip_left,29588,tiger
12430020,zip_right,29588,tiger
12430061,highway,residential,regular
12430061,name,Shannan Dora Street,regular
12430061,cfcc,A41,tiger
12430061,county,"Horry, SC",tiger
12430061,name_base,Shannan Dora,tiger
12430061,name_type,St,tiger
12430061,reviewed,no,tiger
12430061,zip_left,29577,tiger
12430061,zip_right,29577,tiger
12430094,highway,residential,regular
